TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
49330,kahramanmaras,dulkadiroglu,dulkadiroglu anadolu lisesi,anadolu lisesi,,ingilizce,385.5319,12.58,434.7189,4.63,410.1254
40486,kahramanmaras,afsin,afsin anadolu lisesi,anadolu lisesi,,ingilizce,357.9958,18.51,407.7632,8.61,382.8795
40173,kahramanmaras,onikisubat,necmettin erbakan anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,405.5519,8.99,474.3629,0.75,439.9574
49311,kahramanmaras,onikisubat,sehit erol olcok anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,370.3114,15.7,428.712,5.43,399.5117
65542,kahramanmaras,dulkadiroglu,tenzile erdogan kiz anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,342.8358,22.33,405.4632,9.0,374.1495
50592,kahramanmaras,dulkadiroglu,hoca ahmet yesevi anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,341.7276,22.63,394.2625,10.94,367.99505
39822,kahramanmaras,elbistan,elbistan anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,338.1101,23.63,399.8419,9.96,368.976
49588,kahramanmaras,turkoglu,yedi guzel adam anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,324.8765,27.58,411.2094,8.04,368.04295
40124,kahramanmaras,onikisubat,kahramanmaras anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,318.3946,29.67,365.767,16.7,342.0808
40162,kahramanmaras,goksun,goksun kiz anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,299.0399,36.62,388.4463,12.01,343.7431
41002,kahramanmaras,afsin,afsin anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,205.3413,89.46,336.5039,24.07,270.9226
40110,kahramanmaras,onikisubat,nezihe oksuz mesleki ve teknik anadolu lisesi,anadolu teknik programi,saglik hizmetleri alani,ingilizce,360.0538,18.03,392.124,11.32,376.0889
39962,kahramanmaras,onikisubat,kahramanmaras mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,277.7584,45.7,384.4654,12.79,331.1119
39691,kahramanmaras,onikisubat,kahramanmaras mesleki ve teknik anadolu lisesi,anadolu teknik programi,endustriyel otomasyon teknolojileri alani,ingilizce,272.0913,48.4,351.6023,20.06,311.84680000000003
49235,kahramanmaras,elbistan,elbistan mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,257.8857,55.77,324.5616,27.68,291.22365
49840,kahramanmaras,onikisubat,kahramanmaras mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,250.9477,59.7,331.6885,25.47,291.31809999999996
50548,kahramanmaras,onikisubat,sehit idari atase galip ozmen mesleki ve teknik anadolu lisesi,anadolu teknik programi,tekstil teknolojisi alani,ingilizce,246.3754,62.43,308.8473,32.96,277.61135
40064,kahramanmaras,elbistan,elbistan mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,238.9455,67.08,289.1179,40.63,264.0317
49969,kahramanmaras,onikisubat,sehit idari atase galip ozmen mesleki ve teknik anadolu lisesi,anadolu teknik programi,kimya teknolojisi alani,ingilizce,238.6375,67.28,351.92,19.99,295.27875
39899,kahramanmaras,dulkadiroglu,toki kazimkarabekir mesleki ve teknik anadolu lisesi,anadolu teknik programi,harita-tapu-kadastro alani,ingilizce,229.4086,73.46,318.0168,29.79,273.7127
49406,kahramanmaras,afsin,turgay ciner mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,203.3186,90.58,262.2794,53.39,232.799
49393,kahramanmaras,onikisubat,ticaret ve sanayi odasi mesleki ve teknik anadolu lisesi,anadolu meslek programi,adalet alani (sinavli),ingilizce,305.0883,34.34,364.4397,17.0,334.764
40920,kahramanmaras,onikisubat,ticaret ve sanayi odasi mesleki ve teknik anadolu lisesi,anadolu meslek programi,bilisim teknolojileri alani (sinavli),ingilizce,289.91,40.3,399.695,9.98,344.8025
50618,kahramanmaras,onikisubat,kahramanmaras mado akdeniz mesleki ve teknik anadolu lisesi,anadolu meslek programi,yiyecek icecek hizmetleri alani (sinavli),ingilizce,257.9136,55.76,337.1534,23.89,297.5335
49749,kahramanmaras,onikisubat,ticaret ve sanayi odasi mesleki ve teknik anadolu lisesi,anadolu meslek programi,grafik ve fotograf alani (sinavli),ingilizce,228.5954,74.02,295.0495,38.19,261.82245
50053,karabuk,merkez,karabuk mehmet vergili fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,444.3492,3.46,500.0,0.01,472.1746
65220,karabuk,safranbolu,fatih sultan mehmet fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,413.9668,7.62,443.9498,3.5,428.9583
50494,karabuk,merkez,alparslan gazi anadolu lisesi,anadolu lisesi,,ingilizce,394.8194,10.84,441.0244,3.85,417.9219
49761,karabuk,safranbolu,sehit murat akdemir anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,401.6855,9.64,500.0,0.01,450.84275
40863,karabuk,merkez,karabuk anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,327.8185,26.64,394.3446,10.93,361.08155
50183,karabuk,merkez,kardemir kiz anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,316.5869,30.27,390.0526,11.71,353.31975
49442,karabuk,merkez,karabuk mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,310.2464,32.46,391.6797,11.4,350.96305
49586,karabuk,merkez,karabuk mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,287.6774,41.26,339.1589,23.34,313.41814999999997
49372,karabuk,merkez,karabuk mesleki ve teknik anadolu lisesi,anadolu teknik programi,metalurji teknolojisi alani,ingilizce,252.9726,58.53,293.806,38.69,273.3893
50001,karabuk,safranbolu,evliya celebi mesleki ve teknik anadolu lisesi,anadolu meslek programi,yiyecek icecek hizmetleri alani (sinavli),ingilizce,222.8666,77.96,366.4229,16.56,294.64475000000004
40147,karabuk,safranbolu,evliya celebi mesleki ve teknik anadolu lisesi,anadolu meslek programi,konaklama ve seyahat hizmetleri alani (sinavli),ingilizce,189.031,96.55,348.9937,20.72,269.01234999999997
